Column1,ARO_BUSSTO,BUSSTOP_EN,BUSSTOP_NM,BUS_NODE_I,GPS_LATI,GPS_LONG,ROUTE_NO
"1618","22610",Zoo Land Entrance,오월드회전교차로,"8001522",36.291527000000002,127.388170000000002,"115, 30, 301, 31, 311, 314, 315, 318, 32, 33-2"
"1619","22620",Zoo Land Entrance,오월드회전교차로,"8001523",36.291269999999997,127.388249999999999,"115, 30, 301, 31, 311, 314, 315, 318, 32, 33-2"
"1620","50150",Ojeong Negeori(Intersection),오정네거리,"8002234",36.357889999999998,127.415120000000002,"316, 606, 616"
"1621","50180",Ojeong Negeori(Intersection),오정네거리,"8002233",36.357494000000003,127.415440000000004,"316, 616"
"1622","50030",Ojeong Agricultural and Marine Products Market,오정농수산물시장,"8002236",36.357650000000000,127.407646000000000,"102, 605, 606, 617, 703, 706"
"1623","50040",Ojeong Agricultural and Marine Products Market,오정농수산물시장,"8002235",36.357295999999998,127.407844999999995,"102, 605, 606, 614, 617, 703, 706"
"1624","50060",Ojeong Agricultural and Marine Products Market,오정농수산물시장,"8002237",36.358192000000003,127.409540000000007,"614"
"1625","53480",---,오정농수산시장,"8007288",36.358669999999996,127.404685999999998,B1
"1626","53460",---,오정농수산오거리,"8007279",36.355083000000000,127.407619999999994,"105, 316, 614, B1"
"1627","53470",---,오정농수산오거리,"8007280",36.355618000000000,127.406456000000006,"105, 316, 614, B1"
"1628","50250",Ojeong-dong,오정동,"8002238",36.354360000000000,127.417349999999999,"512"
"1629","50260",Hite Beer Corporation,오정동,"8002860",36.354225000000000,127.417280000000005,"512"
"1630","53440",---,오정동행정복지센터,"8007277",36.351765000000000,127.411760000000001,"105, 316, 614, B1"
"1631","53450",---,오정동행정복지센터,"8007278",36.352302999999999,127.410629999999998,"105, 316, 614, B1"
"1632","50140",Ojeong Post Office,오정우체국,"8002244",36.354553000000003,127.414955000000006,"316, 606, 616"
"1633","50160",Ojeong Post Office,오정우체국,"8002245",36.354675000000000,127.415300000000002,"316, 606, 616"
